Carrera Escogida,Escuela de Origen,Municipio,Estado,Sexo,Estado Civil,calFin,Paso
TSU EN CONTADURIA,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,TLANCHINOL,MEXICO,HOMBRE,VIUDO,8,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CECYTE ATLAPEXCO,HUEJUTLA DE REYES,YUCATAN,MUJER,DIVORCIADO,9,1
TSU EN CONTADURIA,CECYTE HUEJUTLA,TLANCHINOL,YUCATAN,MUJER,DIVORCIADO,8,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,CBTA # 5 (HUEJUTLA),ATLAPEXCO,HIDALGO,MUJER,CASADO,9,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),YAHUALICA,JALISCO,HOMBRE,SOLTERO,8,1
TSU EN GASTRONOMIA,INSTITUTO TECNOLOGICO DE EDUCACION MEDIA SUPERIOR,TLANCHINOL,HIDALGO,MUJER,VIUDO,10,1
TSU EN CONSTRUCCION,CECYTEH PLANTEL SAN FELIPE,ATLAPEXCO,HIDALGO,HOMBRE,DIVORCIADO,7,0
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,CONALEP CIUDAD AZTECA,ATLAPEXCO,HIDALGO,MUJER,CASADO,5,0
TSU EN MECATRONICA Area Automatizacion,COBAEH PLANTEL MECATLAN,TLANCHINOL,HIDALGO,HOMBRE,SOLTERO,1,0
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",COBAEH PLANTEL TEHUETLAN,YAHUALICA,YUCATAN,HOMBRE,SOLTERO,9,1
TSU EN MECATRONICA Area Automatizacion,CONALEP CIUDAD AZTECA,ATLAPEXCO,JALISCO,HOMBRE,DIVORCIADO,10,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,COBAEH PLANTEL MECATLAN,TLANCHINOL,HIDALGO,HOMBRE,DIVORCIADO,10,1
TSU EN CONTADURIA,COBAEH PLANTEL TIANGUISTENGO,YAHUALICA,YUCATAN,MUJER,VIUDO,8,1
TSU EN CONSTRUCCION,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),YAHUALICA,HIDALGO,MUJER,SOLTERO,3,0
TSU EN CONSTRUCCION,CECYTE ATLAPEXCO,ATLAPEXCO,PUEBLA,HOMBRE,VIUDO,7,0
TSU EN AGROBIOTECNOLOGIA,CECYTE ATLAPEXCO,HUEJUTLA DE REYES,HIDALGO,MUJER,SOLTERO,8,1
TSU EN CONSTRUCCION,CECYTEH PLANTEL SAN FELIPE,HUEJUTLA DE REYES,HIDALGO,HOMBRE,SOLTERO,6,0
TSU EN GASTRONOMIA,CONALEP CIUDAD AZTECA,ATLAPEXCO,MEXICO,HOMBRE,CASADO,10,1
TSU EN CONSTRUCCION,COBAEH PLANTEL MECATLAN,YAHUALICA,PUEBLA,MUJER,DIVORCIADO,9,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,COBAEH ATLAPEXCO,ATLAPEXCO,JALISCO,HOMBRE,SOLTERO,9,1
TSU EN AGROBIOTECNOLOGIA,COBAEH PLANTEL MECATLAN,TLANCHINOL,HIDALGO,HOMBRE,VIUDO,8,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,CECYTE HUEJUTLA,HUEJUTLA DE REYES,JALISCO,HOMBRE,DIVORCIADO,10,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,TLANCHINOL,PUEBLA,HOMBRE,VIUDO,8,1
TSU EN PROCESOS ALIMENTARIOS,COBAEH ATLAPEXCO,ATLAPEXCO,HIDALGO,HOMBRE,DIVORCIADO,4,0
TSU EN AGROBIOTECNOLOGIA,COBAEH PLANTEL MECATLAN,ATLAPEXCO,MEXICO,MUJER,DIVORCIADO,8,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,CONALEP CIUDAD AZTECA,YAHUALICA,YUCATAN,MUJER,SOLTERO,6,0
TSU EN PROCESOS ALIMENTARIOS,COBAEH PLANTEL SANTA CATARINA,YAHUALICA,MEXICO,MUJER,CASADO,6,0
TSU EN PROCESOS ALIMENTARIOS,COBAEH PLANTEL JALTOCAN,YAHUALICA,MEXICO,HOMBRE,SOLTERO,10,1
TSU EN AGROBIOTECNOLOGIA,COBAEH PLANTEL JALTOCAN,TLANCHINOL,YUCATAN,HOMBRE,DIVORCIADO,9,1
TSU EN MECATRONICA Area Automatizacion,CENTRO DE ESTUDIOS DE BACHILLERATO MAESTRO MOISES SAENZ GARZA,YAHUALICA,YUCATAN,HOMBRE,SOLTERO,7,0
TSU EN CONTADURIA,CECYTEH PLANTEL PACHUCA,ATLAPEXCO,YUCATAN,HOMBRE,SOLTERO,7,0
TSU EN GASTRONOMIA,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),YAHUALICA,HIDALGO,HOMBRE,DIVORCIADO,3,0
TSU EN CONTADURIA,COBAEH HUEJUTLA,HUEJUTLA DE REYES,JALISCO,HOMBRE,DIVORCIADO,9,1
TSU EN CONSTRUCCION,CECYTE HUEJUTLA,YAHUALICA,JALISCO,MUJER,SOLTERO,10,1
TSU EN GASTRONOMIA,COBAEH PLANTEL MECATLAN,TLANCHINOL,YUCATAN,HOMBRE,SOLTERO,2,0
TSU EN CONSTRUCCION,COBAEH PLANTEL TEHUETLAN,HUEJUTLA DE REYES,MEXICO,MUJER,SOLTERO,8,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,COBAEH ATLAPEXCO,HUEJUTLA DE REYES,PUEBLA,HOMBRE,VIUDO,10,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CENTRO DE ESTUDIOS DE BACHILLERATO MAESTRO MOISES SAENZ GARZA,HUEJUTLA DE REYES,YUCATAN,MUJER,SOLTERO,10,1
TSU EN AGROBIOTECNOLOGIA,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),TLANCHINOL,MEXICO,HOMBRE,VIUDO,9,1
TSU EN GASTRONOMIA,CONALEP CIUDAD AZTECA,ATLAPEXCO,MEXICO,MUJER,CASADO,10,1
TSU EN GASTRONOMIA,CECYTE HUEJUTLA,YAHUALICA,HIDALGO,MUJER,VIUDO,10,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,INSTITUTO TECNOLOGICO DE EDUCACION MEDIA SUPERIOR,HUEJUTLA DE REYES,HIDALGO,HOMBRE,SOLTERO,8,1
TSU EN MECATRONICA Area Automatizacion,CECYTEH PLANTEL POXINDEJE,HUEJUTLA DE REYES,JALISCO,HOMBRE,CASADO,4,0
TSU EN PROCESOS ALIMENTARIOS,CECYTE ATLAPEXCO,HUEJUTLA DE REYES,JALISCO,MUJER,VIUDO,10,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,CECYTEH PLANTEL PACHUCA,ATLAPEXCO,PUEBLA,HOMBRE,VIUDO,9,1
TSU EN MERCADOTECNIA,CECYTEH PLANTEL POXINDEJE,ATLAPEXCO,PUEBLA,HOMBRE,DIVORCIADO,5,0
TSU EN PROCESOS ALIMENTARIOS,CECYTE ATLAPEXCO,TLANCHINOL,PUEBLA,HOMBRE,CASADO,1,0
TSU EN AGROBIOTECNOLOGIA,CONALEP CIUDAD AZTECA,ATLAPEXCO,PUEBLA,MUJER,DIVORCIADO,7,0
TSU EN PROCESOS ALIMENTARIOS,CECYTE ATLAPEXCO,YAHUALICA,MEXICO,HOMBRE,CASADO,9,1
TSU EN MECATRONICA Area Automatizacion,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),TLANCHINOL,MEXICO,MUJER,VIUDO,5,0
TSU EN PROCESOS ALIMENTARIOS,COBAEH ATLAPEXCO,TLANCHINOL,JALISCO,MUJER,DIVORCIADO,8,1
TSU EN AGROBIOTECNOLOGIA,CENTRO DE ESTUDIOS DE BACHILLERATO MAESTRO MOISES SAENZ GARZA,YAHUALICA,HIDALGO,HOMBRE,SOLTERO,8,1
TSU EN MECATRONICA Area Automatizacion,COBAEH PLANTEL MECATLAN,YAHUALICA,HIDALGO,MUJER,VIUDO,8,1
TSU EN CONTADURIA,COBAEH PLANTEL TEHUETLAN,YAHUALICA,YUCATAN,HOMBRE,CASADO,10,1
TSU EN GASTRONOMIA,COBAEH PLANTEL JALTOCAN,TLANCHINOL,MEXICO,HOMBRE,CASADO,9,1
TSU EN GASTRONOMIA,CENTRO DE ESTUDIOS DE BACHILLERATO MAESTRO MOISES SAENZ GARZA,TLANCHINOL,PUEBLA,MUJER,DIVORCIADO,5,0
TSU EN CONSTRUCCION,CECYTEH PLANTEL PACHUCA,TLANCHINOL,PUEBLA,MUJER,DIVORCIADO,8,1
TSU EN CONTADURIA,CECYTE ATLAPEXCO,YAHUALICA,YUCATAN,MUJER,CASADO,5,0
TSU EN CONTADURIA,CONALEP CIUDAD AZTECA,YAHUALICA,HIDALGO,MUJER,VIUDO,8,1
TSU EN PROCESOS ALIMENTARIOS,CECYTEH PLANTEL SAN FELIPE,HUEJUTLA DE REYES,PUEBLA,MUJER,DIVORCIADO,10,1
TSU EN GASTRONOMIA,COBAEH PLANTEL SANTA CATARINA,ATLAPEXCO,HIDALGO,HOMBRE,SOLTERO,8,1
TSU EN AGROBIOTECNOLOGIA,COBAEH PLANTEL JALTOCAN,HUEJUTLA DE REYES,YUCATAN,MUJER,CASADO,9,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,CBTA # 5 (HUEJUTLA),YAHUALICA,HIDALGO,HOMBRE,SOLTERO,7,0
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,CONALEP CIUDAD AZTECA,TLANCHINOL,HIDALGO,HOMBRE,CASADO,10,1
TSU EN MECATRONICA Area Automatizacion,COBAEH PLANTEL TIANGUISTENGO,YAHUALICA,HIDALGO,MUJER,SOLTERO,8,1
TSU EN GASTRONOMIA,COBAEH PLANTEL JALTOCAN,ATLAPEXCO,PUEBLA,MUJER,VIUDO,6,0
TSU EN GASTRONOMIA,COBAEH PLANTEL JALTOCAN,HUEJUTLA DE REYES,JALISCO,MUJER,CASADO,10,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,CBTA # 5 (HUEJUTLA),HUEJUTLA DE REYES,MEXICO,MUJER,VIUDO,9,1
TSU EN GASTRONOMIA,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),TLANCHINOL,HIDALGO,MUJER,DIVORCIADO,9,1
TSU EN PROCESOS ALIMENTARIOS,CBTA # 5 (HUEJUTLA),HUEJUTLA DE REYES,HIDALGO,HOMBRE,CASADO,8,1
TSU EN MERCADOTECNIA,CENTRO DE ESTUDIOS DE BACHILLERATO MAESTRO MOISES SAENZ GARZA,HUEJUTLA DE REYES,HIDALGO,HOMBRE,VIUDO,4,0
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",COBAEH HUEJUTLA,YAHUALICA,JALISCO,HOMBRE,SOLTERO,9,1
TSU EN CONTADURIA,COBAEH PLANTEL TEHUETLAN,HUEJUTLA DE REYES,YUCATAN,MUJER,VIUDO,10,1
TSU EN CONSTRUCCION,CENTRO DE ESTUDIOS DE BACHILLERATO MAESTRO MOISES SAENZ GARZA,HUEJUTLA DE REYES,PUEBLA,MUJER,CASADO,5,0
TSU EN MECATRONICA Area Automatizacion,INSTITUTO TECNOLOGICO DE EDUCACION MEDIA SUPERIOR,HUEJUTLA DE REYES,JALISCO,HOMBRE,VIUDO,10,1
TSU EN MERCADOTECNIA,CONALEP CIUDAD AZTECA,TLANCHINOL,HIDALGO,MUJER,SOLTERO,5,0
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,COBAEH PLANTEL SANTA CATARINA,TLANCHINOL,JALISCO,MUJER,SOLTERO,9,1
TSU EN CONTADURIA,INSTITUTO TECNOLOGICO DE EDUCACION MEDIA SUPERIOR,YAHUALICA,JALISCO,MUJER,SOLTERO,1,0
TSU EN GASTRONOMIA,COBAEH PLANTEL TEHUETLAN,HUEJUTLA DE REYES,JALISCO,HOMBRE,DIVORCIADO,8,1
TSU EN CONSTRUCCION,COBAEH PLANTEL TEHUETLAN,TLANCHINOL,YUCATAN,MUJER,CASADO,8,1
TSU EN GASTRONOMIA,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),TLANCHINOL,MEXICO,HOMBRE,SOLTERO,10,1
TSU EN AGROBIOTECNOLOGIA,CECYTEH PLANTEL PACHUCA,YAHUALICA,PUEBLA,MUJER,DIVORCIADO,1,0
TSU EN AGROBIOTECNOLOGIA,COBAEH PLANTEL MECATLAN,ATLAPEXCO,YUCATAN,MUJER,SOLTERO,8,1
TSU EN CONSTRUCCION,CECYTE HUEJUTLA,HUEJUTLA DE REYES,YUCATAN,HOMBRE,VIUDO,9,1
TSU EN CONSTRUCCION,COBAEH PLANTEL TIANGUISTENGO,TLANCHINOL,MEXICO,MUJER,CASADO,1,0
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,CECYTEH PLANTEL SAN FELIPE,YAHUALICA,YUCATAN,MUJER,VIUDO,9,1
TSU EN CONSTRUCCION,CECYTEH PLANTEL POXINDEJE,YAHUALICA,JALISCO,MUJER,DIVORCIADO,9,1
TSU EN PROCESOS ALIMENTARIOS,COBAEH PLANTEL MECATLAN,YAHUALICA,JALISCO,HOMBRE,VIUDO,10,1
TSU EN GASTRONOMIA,CONALEP CIUDAD AZTECA,TLANCHINOL,HIDALGO,MUJER,VIUDO,7,0
TSU EN MERCADOTECNIA,CONALEP CIUDAD AZTECA,HUEJUTLA DE REYES,YUCATAN,MUJER,SOLTERO,10,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,CONALEP CIUDAD AZTECA,ATLAPEXCO,HIDALGO,MUJER,VIUDO,4,0
TSU EN CONSTRUCCION,COBAEH HUEJUTLA,HUEJUTLA DE REYES,PUEBLA,MUJER,SOLTERO,9,1
TSU EN MECATRONICA Area Automatizacion,CECYTEH PLANTEL POXINDEJE,YAHUALICA,JALISCO,MUJER,SOLTERO,1,0
TSU EN AGROBIOTECNOLOGIA,CBTA # 5 (HUEJUTLA),YAHUALICA,PUEBLA,HOMBRE,CASADO,10,1
TSU EN PROCESOS ALIMENTARIOS,CECYTE HUEJUTLA,ATLAPEXCO,MEXICO,HOMBRE,DIVORCIADO,10,1
TSU EN CONTADURIA,CECYTE ATLAPEXCO,HUEJUTLA DE REYES,JALISCO,MUJER,DIVORCIADO,3,0
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,COBAEH PLANTEL MECATLAN,YAHUALICA,PUEBLA,MUJER,DIVORCIADO,9,1
TSU EN MERCADOTECNIA,COBAEH PLANTEL TEHUETLAN,YAHUALICA,MEXICO,HOMBRE,SOLTERO,9,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,COBAEH PLANTEL SANTA CATARINA,HUEJUTLA DE REYES,PUEBLA,MUJER,DIVORCIADO,2,0
TSU EN CONSTRUCCION,COBAEH PLANTEL TIANGUISTENGO,YAHUALICA,MEXICO,MUJER,SOLTERO,9,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,INSTITUTO TECNOLOGICO DE EDUCACION MEDIA SUPERIOR,HUEJUTLA DE REYES,MEXICO,MUJER,CASADO,10,1
TSU EN AGROBIOTECNOLOGIA,CENTRO DE ESTUDIOS DE BACHILLERATO MAESTRO MOISES SAENZ GARZA,YAHUALICA,JALISCO,MUJER,DIVORCIADO,9,1
TSU EN AGROBIOTECNOLOGIA,CECYTE HUEJUTLA,HUEJUTLA DE REYES,HIDALGO,MUJER,SOLTERO,10,1
TSU EN CONTADURIA,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,ATLAPEXCO,MEXICO,MUJER,DIVORCIADO,8,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,YAHUALICA,MEXICO,MUJER,DIVORCIADO,9,1
TSU EN GASTRONOMIA,COBAEH PLANTEL TIANGUISTENGO,ATLAPEXCO,JALISCO,MUJER,CASADO,10,1
